Precinct 46,,
Registration & Turnout,,"3,287"
Election Day Turnout,1606,48.86%
Absentee Turnout,94,2.86%
Total...,"1,700",51.72%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1596,95.68%
SGN - COBB/LaMARCHE,7,0.42%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,2,0.12%
REP - BUSH/CHENEY,56,3.36%
IND - NADER/CAMEJO,4,0.24%
"Write In, if any ",3,0.18%
Precinct 47,,
Registration & Turnout,,"2,962"
Election Day Turnout,1538,51.92%
Absentee Turnout,132,4.46%
Total...,"1,670",56.38%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1534,92.86%
SGN - COBB/LaMARCHE,6,0.36%
LIB - BADNARIK/CAMPAGNA,3,0.18%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,94,5.69%
IND - NADER/CAMEJO,10,0.61%
"Write In, if any ",4,0.24%
Total...,"1,652",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1537,95.76%
REP - MICHAEL ANDREW MONROE,63,3.93%
Precinct 48,,
Registration & Turnout,,"3,168"
Election Day Turnout,1683,53.13%
Absentee Turnout,165,5.21%
Total...,"1,848",58.33%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1710,93.90%
SGN - COBB/LaMARCHE,3,0.16%
LIB - BADNARIK/CAMPAGNA,2,0.11%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,89,4.89%
IND - NADER/CAMEJO,12,0.66%
"Write In, if any ",5,0.27%
Total...,"1,821",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1678,95.02%
REP - MICHAEL ANDREW MONROE,81,4.59%
"Write In, if any ",7,0.40%
Precinct 49,,
egistration & Turnout,,809
Election Day Turnout,381,47.10%
Absentee Turnout,28,3.46%
Total...,409,50.56%
LECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,374,93.03%
SGN - COBB/LaMARCHE,5,1.24%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,22,5.47%
IND - NADER/CAMEJO,1,0.25%
"Write In, if any ",0,0.00%
Total...,402,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,387,97.48%
REP - MICHAEL ANDREW MONROE,8,2.02%
"Write In, if any ",2,0.50%
Precinct 50,,
Registration & Turnout,,"2,657"
Election Day Turnout,1685,63.42%
Absentee Turnout,248,9.33%
Total...,"1,933",72.75%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1543,80.32%
SGN - COBB/LaMARCHE,5,0.26%
LIB - BADNARIK/CAMPAGNA,8,0.42%
SWP - HARRIS/TROWE,1,0.05%
REP - BUSH/CHENEY,340,17.70%
IND - NADER/CAMEJO,18,0.94%
"Write In, if any ",6,0.31%
Total...,"1,921",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1557,84.34%
REP - MICHAEL ANDREW MONROE,279,15.11%
"Write In, if any ",10,0.54%
Precinct 51,,
Registration & Turnout,,"4,299"
Election Day Turnout,2844,66.15%
Absentee Turnout,526,12.24%
Total...,"3,370",78.39%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2686,80.11%
SGN - COBB/LaMARCHE,10,0.30%
LIB - BADNARIK/CAMPAGNA,7,0.21%
SWP - HARRIS/TROWE,1,0.03%
REP - BUSH/CHENEY,616,18.37%
IND - NADER/CAMEJO,26,0.78%
"Write In, if any ",7,0.21%
Total...,"3,353",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2739,84.46%
REP - MICHAEL ANDREW MONROE,487,15.02%
Precinct 52,,
Registration & Turnout,,"1,712"
Election Day Turnout,1031,60.22%
Absentee Turnout,189,11.04%
Total...,"1,220",71.26%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1008,83.03%
SGN - COBB/LaMARCHE,3,0.25%
LIB - BADNARIK/CAMPAGNA,5,0.41%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,185,15.24%
IND - NADER/CAMEJO,8,0.66%
"Write In, if any ",5,0.41%
Total...,"1,214",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1017,87.07%
REP - MICHAEL ANDREW MONROE,147,12.59%
"Write In, if any ",4,0.34%
Precinct 53,,
Registration & Turnout,,"1,394"
Election Day Turnout,811,58.18%
Absentee Turnout,70,5.02%
Total...,881,63.20%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,794,90.95%
SGN - COBB/LaMARCHE,2,0.23%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,2,0.23%
REP - BUSH/CHENEY,69,7.90%
IND - NADER/CAMEJO,5,0.57%
"Write In, if any ",1,0.11%
Total...,873,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,791,93.28%
REP - MICHAEL ANDREW MONROE,53,6.25%
"Write In, if any ",4,0.47%
Precinct 54,,
Registration & Turnout,,"2,560"
Election Day Turnout,1384,54.06%
Absentee Turnout,107,4.18%
Total...,"1,491",58.24%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1386,93.78%
SGN - COBB/LaMARCHE,3,0.20%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,73,4.94%
IND - NADER/CAMEJO,11,0.74%
"Write In, if any ",5,0.34%
Total...,"1,478",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1405,96.63%
REP - MICHAEL ANDREW MONROE,45,3.09%
"Write In, if any ",4,0.28%
Precinct 55,,
Registration & Turnout,,"2,863"
Election Day Turnout,1366,47.71%
Absentee Turnout,90,3.14%
Total...,"1,456",50.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1340,93.71%
SGN - COBB/LaMARCHE,1,0.07%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.07%
REP - BUSH/CHENEY,81,5.66%
IND - NADER/CAMEJO,7,0.49%
"Write In, if any ",0,0.00%
Total...,"1,430",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1353,95.89%
REP - MICHAEL ANDREW MONROE,55,3.90%
"Write In, if any ",3,0.21%
Precinct 56,,
Registration & Turnout,,"3,550"
Election Day Turnout,1787,50.34%
Absentee Turnout,117,3.30%
Total...,"1,904",53.63%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1755,94.51%
SGN - COBB/LaMARCHE,7,0.38%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,82,4.42%
IND - NADER/CAMEJO,12,0.65%
"Write In, if any ",1,0.05%
Total...,"1,857",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1784,97.33%
REP - MICHAEL ANDREW MONROE,46,2.51%
"Write In, if any ",3,0.16%
Precinct 57,,
Registration & Turnout,,"2,912"
Election Day Turnout,1622,55.70%
Absentee Turnout,112,3.85%
Total...,"1,734",59.55%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1626,94.87%
SGN - COBB/LaMARCHE,3,0.18%
LIB - BADNARIK/CAMPAGNA,1,0.06%
SWP - HARRIS/TROWE,3,0.18%
REP - BUSH/CHENEY,73,4.26%
IND - NADER/CAMEJO,5,0.29%
"Write In, if any ",3,0.18%
Total...,"1,714",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1653,97.81%
REP - MICHAEL ANDREW MONROE,35,2.07%
"Write In, if any ",2,0.12%
Precinct 58,,
Registration & Turnout,,"2,561"
Election Day Turnout,1380,53.89%
Absentee Turnout,109,4.26%
Total...,"1,489",58.14%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1413,95.73%
SGN - COBB/LaMARCHE,3,0.20%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,1,0.07%
REP - BUSH/CHENEY,53,3.59%
IND - NADER/CAMEJO,4,0.27%
"Write In, if any ",2,0.14%
Total...,"1,476",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1409,97.71%
REP - MICHAEL ANDREW MONROE,28,1.94%
"Write In, if any ",5,0.35%
Precinct 59,,
Registration & Turnout,,"2,969"
Election Day Turnout,1686,56.79%
Absentee Turnout,140,4.72%
Total...,"1,826",61.50%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1721,95.08%
SGN - COBB/LaMARCHE,4,0.22%
LIB - BADNARIK/CAMPAGNA,1,0.06%
SWP - HARRIS/TROWE,1,0.06%
REP - BUSH/CHENEY,71,3.92%
IND - NADER/CAMEJO,11,0.61%
"Write In, if any ",1,0.06%
Total...,"1,810",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1744,97.43%
REP - MICHAEL ANDREW MONROE,39,2.18%
"Write In, if any ",7,0.39%
Precinct 60,,
Registration & Turnout,,"2,284"
Election Day Turnout,1250,54.73%
Absentee Turnout,68,2.98%
Total...,"1,318",57.71%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1224,93.79%
SGN - COBB/LaMARCHE,1,0.08%
LIB - BADNARIK/CAMPAGNA,0,0.00%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,71,5.44%
IND - NADER/CAMEJO,8,0.61%
"Write In, if any ",1,0.08%
Total...,"1,305",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1214,95.74%
REP - MICHAEL ANDREW MONROE,51,4.02%
"Write In, if any ",3,0.24%
Precinct 61,,
Registration & Turnout,,"1,832"
Election Day Turnout,1151,62.83%
Absentee Turnout,98,5.35%
Total...,"1,249",68.18%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,1157,93.91%
SGN - COBB/LaMARCHE,4,0.32%
LIB - BADNARIK/CAMPAGNA,1,0.08%
SWP - HARRIS/TROWE,1,0.08%
REP - BUSH/CHENEY,66,5.36%
IND - NADER/CAMEJO,3,0.24%
"Write In, if any ",0,0.00%
Total...,"1,232",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,1154,96.01%
REP - MICHAEL ANDREW MONROE,43,3.58%
"Write In, if any ",5,0.42%
Precinct 62,,
Registration & Turnout,,"3,665"
Election Day Turnout,2388,65.16%
Absentee Turnout,231,6.30%
Total...,"2,619",71.46%
ELECTORS OF PRESIDENT / VICE PRESIDENT,,(Final)
DEM - KERRY/EDWARDS,2439,93.56%
SGN - COBB/LaMARCHE,2,0.08%
LIB - BADNARIK/CAMPAGNA,4,0.15%
SWP - HARRIS/TROWE,0,0.00%
REP - BUSH/CHENEY,151,5.79%
IND - NADER/CAMEJO,7,0.27%
"Write In, if any ",4,0.15%
Total...,"2,607",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS,,(Final)
DEM - ELEANOR HOLMES NORTON,2416,94.67%
REP - MICHAEL ANDREW MONROE,121,4.74%
"Write In, if any ",15,0.59%
Precinct 63,,
Registration & Turnout,,"3,493"
Election Day Turnout,2087,59.75%
Absentee Turnout,193,5.53%
Total...,"2,280",65.27%
