City of Washington Ward 1,"",""
Registration & Turnout (0) ,"44,857",""
Election Day Turnout ,"22,617 ",50.42%
Absentee Turnout ,"3,746 ",8.35%
Total... ,"26,363 ",58.77%
ELECTORS OF PRESIDENT / VICE PRESIDENT(16) ,16/16 ,100.00%
DEM - KERRY/EDWARDS ,"23,727 ",90.92%
SGN - COBB/LaMARCHE ,191 ,0.73%
LIB - BADNARIK/CAMPAGNA ,85 ,0.33%
SWP - HARRIS/TROWE ,26 ,0.10%
REP - BUSH/CHENEY ,"1,751 ",6.71%
IND - NADER/CAMEJO ,258 ,0.99%
"Write In, if any ",58 ,0.22%
Total... ,"26,096 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS (16) ,16/16 ,100.00%
DEM - ELEANOR HOLMES NORTON ,"23,386 ",92.65%
REP - MICHAEL ANDREW MONROE ,"1,728 ",6.85%
"Write In, if any ",127 ,0.50%
Total... ,"25,241 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL (16) ,16/16 ,100.00%
REP - CAROL SCHWARTZ ,"9,681 ",27.35%
SGN - LAURENT ROSS ,"4,161 ",11.76%
DEM - KWAME R. BROWN ,"19,092 ",53.94%
IND - A.D. ''TONY'' DOMINGUEZ ,"2,160 ",6.10%
"Write In, if any ",301 ,0.85%
Total... ,"35,395 ",100.00%
UNITED STATES REPRESENTATIVE (16) ,16/16 ,100.00%
DEM - RAY BROWNE ,"17,486 ",76.64%
SGN - ADAM EIDINGER ,"5,140 ",22.53%
"Write In, if any ",189 ,0.83%
Total... ,"22,815 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU (16) ,16/16 ,100.00%
JEFF SMITH ,"9,610 ",44.44%
ELEANOR JOHNSON ,"4,317 ",19.96%
CHRISTOPHER McKEON ,"1,371 ",6.34%
KEENAN KELLER ,"6,119 ",28.30%
"Write In, if any ",207 ,0.96%
Total... ,"21,624 ",100.00%
City of Washington Ward 2,"",""
Registration & Turnout (0) ,"42,471",""
Election Day Turnout ,"21,674 ",51.09%
Absentee Turnout ,"3,461 ",8.14%
Total... ,"25,135 ",59.23%
ELECTORS OF PRESIDENT / VICE PRESIDENT(14) ,14/14 ,100.00%
DEM - KERRY/EDWARDS ,"20,691 ",82.99%
SGN - COBB/LaMARCHE ,90 ,0.36%
LIB - BADNARIK/CAMPAGNA ,104 ,0.42%
SWP - HARRIS/TROWE ,11 ,0.04%
REP - BUSH/CHENEY ,"3,713 ",14.89%
IND - NADER/CAMEJO ,238 ,0.95%
"Write In, if any ",86 ,0.34%
Total... ,"24,933 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS (14) ,14/14 ,100.00%
DEM - ELEANOR HOLMES NORTON ,"20,427 ",85.16%
REP - MICHAEL ANDREW MONROE ,"3,451 ",14.39%
"Write In, if any ",110 ,0.46%
Total... ,"23,988 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL (14) ,14/14 ,100.00%
REP - CAROL SCHWARTZ ,"12,497 ",36.90%
SGN - LAURENT ROSS ,"3,444 ",10.17%
DEM - KWAME R. BROWN ,"15,399 ",45.47%
IND - A.D. ''TONY'' DOMINGUEZ ,"2,290 ",6.76%
"Write In, if any ",237 ,0.70%
Total... ,"33,867 ",100.00%
WARD TWO MEMBER OF THE COUNCIL (14) ,14/14 ,100.00%
DEM - JACK EVANS ,"19,053 ",82.39%
SGN - JAY HOUSTON MARX ,"1,838 ",7.95%
"REP - JESSE JAMES PRICE, SR. ","2,133 ",9.22%
