ward,office,party,candidate,votes
1,DELEGATE TO THE U.S. HOUSE OF REPRESEN,DEM,ELEANOR HOLMES NORTON,"11,642"
1,DELEGATE TO THE U.S. HOUSE OF REPRESEN,,Write In,387
1,MAYOR OF THE DISTRICT OF COLUMBIA,DEM,ADRIAN FENTY,"10,949"
1,MAYOR OF THE DISTRICT OF COLUMBIA,SG,CHRIS OTTEN,951
1,MAYOR OF THE DISTRICT OF COLUMBIA,REP,DAVID W. KRANICH,585
1,MAYOR OF THE DISTRICT OF COLUMBIA,,Write In,155
1,CHAIRMAN OF THE COUNCIL,DEM,VINCENT C. GRAY,"11,042"
1,CHAIRMAN OF THE COUNCIL,,Write In,280
1,AT-LARGE MEMBER OF THE COUNCIL,IND,ANTONIO 'TONY' DOMINGUEZ,"1,157"
1,AT-LARGE MEMBER OF THE COUNCIL,DEM,PHIL MENDELSON,"9,238"
1,AT-LARGE MEMBER OF THE COUNCIL,REP,MARCUS SKELTON,590
1,AT-LARGE MEMBER OF THE COUNCIL,SG,ANN C. WILCOX,"1,924"
1,AT-LARGE MEMBER OF THE COUNCIL,IND,DAVID A. CATANIA,"6,170"
1,AT-LARGE MEMBER OF THE COUNCIL,,Write In,91
1,WARD ONE MEMBER OF THE COUNCIL,DEM,JIM GRAHAM,"11,489"
1,WARD ONE MEMBER OF THE COUNCIL,,Write In,326
1,UNITED STATES SENATOR,SG,JOYCE ROBINSON-PAUL,"2,388"
1,UNITED STATES SENATOR,DEM,MICHAEL D. BROWN,"8,909"
1,UNITED STATES SENATOR,,Write In,127
1,UNITED STATES REPRESENTATIVE,SG,KEITH R. WARE,"2,092"
1,UNITED STATES REPRESENTATIVE,DEM,MIKE PANETTA,"8,346"
1,UNITED STATES REPRESENTATIVE,REP,NELSON RIMENSNYDER,763
1,UNITED STATES REPRESENTATIVE,,Write In,91
1,PRESIDENT OF THE BOARD OF EDUCATION,,CAROLYN GRAHAM,"3,638"
1,PRESIDENT OF THE BOARD OF EDUCATION,,TIMOTHY JENKINS,"1,387"
1,PRESIDENT OF THE BOARD OF EDUCATION,,ROBERT C. BOBB,"4,599"
1,PRESIDENT OF THE BOARD OF EDUCATION,,SUNDAY ABRAHAM,318
1,PRESIDENT OF THE BOARD OF EDUCATION,,LAURENT ROSS,795
1,PRESIDENT OF THE BOARD OF EDUCATION,,Write In,112
1,ANC FOR SMD 1A01,,JACQUELINE C. ARGUELLES,87
1,ANC FOR SMD 1A01,,LISA KRALOVIC DE LEON,67
1,ANC FOR SMD 1A01,,Write In,6
1,ANC FOR SMD 1A02,,"CALVIN B. WOOLDAND, JR.",246
1,ANC FOR SMD 1A02,,Write In,18
1,ANC FOR SMD 1A03,,ALEXANDER HOGAN,97
1,ANC FOR SMD 1A03,,Write In,4
1,ANC FOR SMD 1A04,,MACK A. JAMES,115
1,ANC FOR SMD 1A04,,BETTY PAIR,117
1,ANC FOR SMD 1A04,,Write In,0
1,ANC FOR SMD 1A05,,ANNE THEISEN,140
1,ANC FOR SMD 1A05,,Write In,0
1,ANC FOR SMD 1A06,,SAMUEL JOHNSON,138
1,ANC FOR SMD 1A06,,RICHARD DUBESHTER,53
1,ANC FOR SMD 1A06,,Write In,47
1,ANC FOR SMD 1A07,,LARRY E. RAY,195
1,ANC FOR SMD 1A07,,ALI MUHAMMAD,79
1,ANC FOR SMD 1A07,,Write In,13
1,ANC FOR SMD 1A08,,JANISHA N. RICHARDSON,305
1,ANC FOR SMD 1A08,,TAYLOR CHESNIK,103
1,ANC FOR SMD 1A08,,Write In,7
1,ANC FOR SMD 1A09,,LISA A. EADY,32
1,ANC FOR SMD 1A09,,MARIE WHITFIELD,81
1,ANC FOR SMD 1A09,,DONNY GONZALEZ,149
1,ANC FOR SMD 1A09,,Write In,5
1,ANC FOR SMD 1A10,,RICHARD JACKSON,114
1,ANC FOR SMD 1A10,,LENWOOD 'LENNY' JOHNSON,183
1,ANC FOR SMD 1A10,,Write In,14
1,ANC FOR SMD 1A11,,DOTTI LOVE WADE,205
1,ANC FOR SMD 1A11,,Write In,12
1,ANC FOR SMD 1B01,,LAWRENCE GUYOT,124
1,ANC FOR SMD 1B01,,MYLA MOSS,213
1,ANC FOR SMD 1B01,,Write In,4
1,ANC FOR SMD 1B02,,PHILIP C. SPALDING,502
1,ANC FOR SMD 1B02,,Write In,29
1,ANC FOR SMD 1B03,,CATHERINE HAMMONDS,160
1,ANC FOR SMD 1B03,,SEDRICK MUHAMMAD,157
1,ANC FOR SMD 1B03,,M.A. DOLL FITZGERALD,97
1,ANC FOR SMD 1B03,,Write In,5
1,ANC FOR SMD 1B04,,DEE HUNTER,222
1,ANC FOR SMD 1B04,,Write In,30
1,ANC FOR SMD 1B05,,HOWARD P. WILSON,92
1,ANC FOR SMD 1B05,,BRIANNE K. NADEAU,175
1,ANC FOR SMD 1B05,,Write In,6
1,ANC FOR SMD 1B06,,MEGHAN CONKLIN,154
1,ANC FOR SMD 1B06,,Write In,21
1,ANC FOR SMD 1B07,,ZACHARY WRIGHT,158
1,ANC FOR SMD 1B07,,Write In,8
1,ANC FOR SMD 1B08,,ROSEMARY AKINMBONI,209
1,ANC FOR SMD 1B08,,Write In,7
1,ANC FOR SMD 1B09,,"BRANDON M. STURDIVANT, SR.",77
1,ANC FOR SMD 1B09,,THOMAS K. D. SMITH,255
1,ANC FOR SMD 1B09,,Write In,11
1,ANC FOR SMD 1B10,,KELVIN P. ESTERS,27
1,ANC FOR SMD 1B10,,NATE MATHEWS,70
1,ANC FOR SMD 1B10,,Write In,2
1,ANC FOR SMD 1B11,,RAYMOND WRIGHT,74
1,ANC FOR SMD 1B11,,Write In,10
1,ANC FOR SMD 1C01,,BARRY WEISE,370
1,ANC FOR SMD 1C01,,Write In,20
