Precinct,Ward
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,3
9,3
10,3
11,3
12,3
13,1
14,2
15,2
16,2
17,2
18,2
19,5
20,1
21,2
22,1
23,1
24,1
25,1
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,4
45,4
46,4
47,4
48,4
49,4
50,3
51,3
52,3
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,6
113,7
114,6
115,8
116,8
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,2
128,2
129,2
130,6
131,6
132,7
133,6
134,8
135,5
136,1
137,1
138,3
139,5
140,6
,
,
,
