ward,precinct,office,district,party,candidate,votes
6,1,president,,DEM, KERRY/EDWARDS ,1491 
6,1,president,,SGN, COBB/LaMARCHE ,4 
6,1,president,,LIB, BADNARIK/CAMPAGNA ,3 
6,1,president,,SWP, HARRIS/TROWE ,1 
6,1,president,,REP, BUSH/CHENEY ,90 
6,1,president,,IND, NADER/CAMEJO ,6 
6,1,president,,,Write in,4 
6,1,president,,,Total,"1,599 "
6,1,delegate,At Large,DEM, ELEANOR HOLMES NORTON ,1477 
6,1,delegate,At Large,REP, MICHAEL ANDREW MONROE ,73 
6,1,delegate,At Large,,Write in,3 
6,1,delegate,At Large,,Total,"1,553 "
6,1,council,,REP, CAROL SCHWARTZ ,395 
6,1,council,,SGN, LAURENT ROSS ,124 
6,1,council,,DEM, KWAME R. BROWN ,1267 
6,1,council,,IND, A.D. ''TONY'' DOMINGUEZ ,89 
6,1,council,,,Write in,10 
6,1,council,,,Total,"1,885 "
2,2,president,,DEM, KERRY/EDWARDS ,213 
2,2,president,,SGN, COBB/LaMARCHE ,1 
2,2,president,,LIB, BADNARIK/CAMPAGNA ,1 
2,2,president,,SWP, HARRIS/TROWE ,0 
2,2,president,,REP, BUSH/CHENEY ,62 
2,2,president,,IND, NADER/CAMEJO ,7 
2,2,president,,,Write in,1 
2,2,president,,,Total,285 
2,2,delegate,At Large,DEM, ELEANOR HOLMES NORTON ,224 
2,2,delegate,At Large,REP, MICHAEL ANDREW MONROE ,45 
2,2,delegate,At Large,,Write in,3 
2,2,delegate,At Large,,Total,272 
2,2,council,,REP, CAROL SCHWARTZ ,121 
2,2,council,,SGN, LAURENT ROSS ,41 
2,2,council,,DEM, KWAME R. BROWN ,178 
2,2,council,,IND, A.D. ''TONY'' DOMINGUEZ ,40 
2,2,council,,,Write in,3 
2,2,council,,,Total,383 
2,2,council,,DEM, JACK EVANS ,190 
2,2,council,,SGN, JAY HOUSTON MARX ,31 
2,2,council,,REP," JESSE JAMES PRICE, SR. ",30 
2,2,council,,,Write in,1 
2,2,council,,,Total,252 
2,2,shadow senator,,DEM, RAY BROWNE ,174 
2,2,shadow senator,,SGN, ADAM EIDINGER ,54 
2,2,shadow senator,,,Write in,8 
2,2,shadow senator,,,Total,236 
2,2,board of education,,,JEFF SMITH ,33 
2,2,board of education,,,ELEANOR JOHNSON ,82 
2,2,board of education,,,CHRISTOPHER McKEON ,34 
2,2,board of education,,,KEENAN KELLER ,39 
2,2,board of education,,,Write in,2 
2,2,board of education,,,Total,190 
2,3,president,,DEM, KERRY/EDWARDS ,1008 
2,3,president,,SGN, COBB/LaMARCHE ,1 
2,3,president,,LIB, BADNARIK/CAMPAGNA ,8 
2,3,president,,SWP, HARRIS/TROWE ,1 
2,3,president,,REP, BUSH/CHENEY ,363 
2,3,president,,IND, NADER/CAMEJO ,13 
2,3,president,,,Write in,8 
2,3,president,,,Total,"1,402 "
2,3,delegate,At Large,DEM, ELEANOR HOLMES NORTON ,1052 
2,3,delegate,At Large,REP, MICHAEL ANDREW MONROE ,290 
2,3,delegate,At Large,,Write in,8 
2,3,delegate,At Large,,Total,"1,350 "
2,3,council,,REP, CAROL SCHWARTZ ,891 
2,3,council,,SGN, LAURENT ROSS ,155 
2,3,council,,DEM, KWAME R. BROWN ,743 
2,3,council,,IND, A.D. ''TONY'' DOMINGUEZ ,154 
2,3,council,,,Write in,13 
2,3,council,,,Total,"1,956 "
2,3,council,,DEM, JACK EVANS ,976 
2,3,council,,SGN, JAY HOUSTON MARX ,105 
2,3,council,,REP," JESSE JAMES PRICE, SR. ",209 
2,3,council,,,Write in,5 
2,3,council,,,Total,"1,295 "
2,3,shadow senator,,DEM, RAY BROWNE ,830 
2,3,shadow senator,,SGN, ADAM EIDINGER ,186 
2,3,shadow senator,,,Write in,18 
2,3,shadow senator,,,Total,"1,034 "
2,3,board of education,,,JEFF SMITH ,256 
2,3,board of education,,,ELEANOR JOHNSON ,250 
2,3,board of education,,,CHRISTOPHER McKEON ,146 
2,3,board of education,,,KEENAN KELLER ,322 
2,3,board of education,,,Write in,8 
2,3,board of education,,,Total,982 
2,4,president,,DEM, KERRY/EDWARDS ,925 
2,4,president,,SGN, COBB/LaMARCHE ,3 
2,4,president,,LIB, BADNARIK/CAMPAGNA ,5 
2,4,president,,SWP, HARRIS/TROWE ,1 
2,4,president,,REP, BUSH/CHENEY ,266 
2,4,president,,IND, NADER/CAMEJO ,12 
2,4,president,,,Write in,5 
2,4,president,,,Total,"1,217 "
2,4,delegate,At Large,DEM, ELEANOR HOLMES NORTON ,904 
2,4,delegate,At Large,REP, MICHAEL ANDREW MONROE ,251 
2,4,delegate,At Large,,Write in,10 
2,4,delegate,At Large,,Total,"1,165 "
2,4,council,,REP, CAROL SCHWARTZ ,690 
2,4,council,,SGN, LAURENT ROSS ,143 
2,4,council,,DEM, KWAME R. BROWN ,666 
2,4,council,,IND, A.D. ''TONY'' DOMINGUEZ ,140 
2,4,council,,,Write in,14 
2,4,council,,,Total,"1,653 "
2,4,council,,DEM, JACK EVANS ,833 
2,4,council,,SGN, JAY HOUSTON MARX ,91 
2,4,council,,REP," JESSE JAMES PRICE, SR. ",180 
2,4,council,,,Write in,6 
2,4,council,,,Total,"1,110 "
2,4,shadow senator,,DEM, RAY BROWNE ,761 
2,4,shadow senator,,SGN, ADAM EIDINGER ,178 
2,4,shadow senator,,,Write in,12 
2,4,shadow senator,,,Total,951 
2,4,board of education,,,JEFF SMITH ,171 
2,4,board of education,,,ELEANOR JOHNSON ,229 
2,4,board of education,,,CHRISTOPHER McKEON ,132 
2,4,board of education,,,KEENAN KELLER ,270 
2,4,board of education,,,Write in,9 
2,4,board of education,,,Total,811 
2,5,president,,DEM, KERRY/EDWARDS ,1771 
2,5,president,,SGN, COBB/LaMARCHE ,8 
2,5,president,,LIB, BADNARIK/CAMPAGNA ,7 
2,5,president,,SWP, HARRIS/TROWE ,0 
