precinct,office,party,candidate,votes
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,21
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,3
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,7
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,10
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,0
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,0
7,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,75
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,4
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,3
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,18
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,32
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,7
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
8,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,2
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,9
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,3
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,8
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,22
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,2
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,0
9,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,29
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,3
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,0
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,7
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,24
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,1
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,3
10,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,37
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,14
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,2
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,11
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,24
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,2
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,4
11,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,2
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,9
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,8
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,0
12,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,28
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,2
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,1
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,7
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,43
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,1
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,2
26,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,0
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,52
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,0
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,0
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,21
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,84
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,0
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
27,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,Write In,2
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MARTIN LEVINE,42
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,JOE CARRILLO,8
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,CELIA BASSOLS,0
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,LEONARD BENNETT,1
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,MAI ABDUL RAHMAN,16
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,SEKOU BIDDLE,51
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,HERB SCOTT,5
28,DISTRICT II MEMBER OF THE BOARD OF EDUCATION,,ANN HOLIDAY,1
